"Total","2017Q4","Region Hovedstaden",1821577,1597985
"Total","2017Q4","Region Sjælland",834740,782144
"Total","2017Q4","Region Syddanmark",1220306,1126554
"Total","2017Q4","Region Midtjylland",1312985,1213771
"Total","2017Q4","Region Nordjylland",588962,550302
