"Region Syddanmark","Europe outside EU-28",1715,1457,1272,1183,1136,1224,1353,1251,1193,1532
"Region Syddanmark","Africa",199,239,233,233,254,380,458,825,383,392
"Region Syddanmark","North America",209,162,174,167,162,218,214,249,219,238
"Region Syddanmark","South and Central America",189,193,212,189,145,225,211,221,249,237
"Region Syddanmark","Asia",1293,1177,1413,1403,1460,1959,2848,4906,4078,2070
"Region Syddanmark","Oceania",44,41,54,62,52,45,55,71,58,61
"Region Syddanmark","Stateless",16,3,22,49,82,102,137,271,275,80
"Region Syddanmark","Unknown",290,270,273,156,250,194,142,59,50,38
