"Region Hovedstaden","Europe outside EU-28",2776,2748,2737,2532,2358,2513,2532,2641,2626,2596
"Region Hovedstaden","Africa",663,690,709,687,626,787,827,1168,923,746
"Region Hovedstaden","North America",2016,2140,2389,2408,2573,2891,3096,3415,3598,3513
"Region Hovedstaden","South and Central America",453,454,473,410,434,548,654,727,1025,1236
"Region Hovedstaden","Asia",5192,4888,5466,5577,4945,6246,7464,8187,8474,7810
"Region Hovedstaden","Oceania",274,338,344,327,345,374,375,456,494,519
"Region Hovedstaden","Stateless",29,26,22,53,52,80,209,408,309,113
"Region Hovedstaden","Unknown",301,456,528,549,697,868,458,455,397,297
