"Net unemployed recipients of unemployment benefits","Region Hovedstaden",11719,22435,26012,25486,29919,26844,26518,24958,23808,26395
"Net unemployed recipients of unemployment benefits","Region Sjælland",4034,9677,10890,10444,11984,9774,8893,8365,7511,8399
"Net unemployed recipients of unemployment benefits","Region Syddanmark",5656,16177,17633,16625,19735,16217,14199,13708,12794,13708
"Net unemployed recipients of unemployment benefits","Region Midtjylland",6419,17972,18180,16499,19728,16779,15927,15375,14871,15928
"Net unemployed recipients of unemployment benefits","Region Nordjylland",3923,9568,9419,8745,9933,8415,8042,8158,7466,7667
